DATE,COUNTY,INDIVIDUALS,CASELOADS,ISSUANCE
2011-07-01,Hawkins,12281,5734,1544462
2011-07-01,Haywood,5986,3139,773772
2011-07-01,Henderson,6712,3380,854065
2011-07-01,Henry,7668,3595,981373
2011-07-01,Hickman,6223,2817,815713
2011-07-01,Houston,1663,732,203800
2011-07-01,Humphreys,3602,1600,457650
2011-07-01,Jackson,2897,1447,368645
2011-07-01,Jefferson,10923,5091,1417493
2011-07-01,Johnson,4533,2393,567693
2011-07-01,Knox,65029,33044,8944449
2011-07-01,Lake,2274,1212,295324
2011-07-01,Lauderdale,7953,3851,1043640
2011-07-01,Lawrence,8897,4151,1120548
2011-07-01,Lewis,3239,1532,410362
2011-07-01,Lincoln,6934,3213,868771
2011-07-01,Loudon,7112,3267,936258
2011-07-01,Macon,6152,2782,796010
2011-07-01,Madison,20355,9894,2681248
2011-07-01,Marion,7229,3471,945683
2011-07-01,Marshall,6211,2846,793027
2011-07-01,Maury,16451,7774,2214944
2011-07-01,Meigs,3206,1488,411434
2011-07-01,Monroe,10373,4815,1300275
2011-07-01,Montgomery,24619,10936,3318145
2011-07-01,Moore,935,370,107448
2011-07-01,Morgan,5311,2427,678987
2011-07-01,McMinn,11103,5215,1431078
2011-07-01,McNairy,7767,3840,973970
2011-07-01,Obion,6610,3141,813645
2011-07-01,Overton,4928,2320,603573
2011-07-01,Perry,2075,975,261052
2011-07-01,Pickett,1075,550,122064
2011-07-01,Polk,4051,1816,486226
2011-07-01,Putnam,14176,6964,1897132
2011-07-01,Rhea,8191,3821,1085848
2011-07-01,Roane,9833,4745,1244380
2011-07-01,Robertson,11852,5605,1634021
2011-07-01,Rutherford,38568,17380,5348615
2011-07-01,Scott,8095,3939,999711
2011-07-01,Sequatchie,3867,1755,504144
